estado,salario
São Paulo,"9.608,13"
Minas Gerais,"5.594,71"
Rio de Janeiro,"7.363,21"
Paraná,"6.073,87"
Rio Grande do Sul,"6.508,28"
Santa Catarina,"5.996,24"
Bahia,"4.732,42"
Goiás,"4.318,19"
Mato Grosso,"4.357,08"
Ceará,"5.396,15"
Pernambuco,"4.844,26"
Espírito Santo,"3.955,05"
Pará,"5.460,02"
Distrito Federal,"4.953,04"
Mato Grosso do Sul,"4.502,68"
Amazonas,"4.880,59"
Maranhão,"4.597,29"
Rondônia,"3.149,44"
Rio Grande do Norte,"3.233,27"
Alagoas,"3.491,93"
Paraíba,"3.022,56"
Piauí,"3.183,41"
Sergipe,"2.786,62"
Tocantins,"3.493,81"
Acre,"3.018,33"
Amapá,"3.823,06"
Roraima,"2.077,25"
